Position,Activation,Token,Token Score
1,3.1336,,
3,3.0717,,
6,2.9480,,
0,2.1133,,
9,0.1291,,
4,0.1287,,
2,0.0000,,
5,0.0000,,
7,0.0000,,
8,0.0000,,
