Feature ID,Max Activation,Mean Activation,Top Tokens
20383,11.5353,4.1833," footage, %%,  accustomed,  1902, ided"
18192,2.8438,0.2844, Universal
21462,3.1336,1.1524,"overview,  nim,  transported,  calculation, OCT"
