Position,Activation,Token,Token Score
0,13.4603,,
1,8.5233,,
8,1.5910,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
6,0.0000,,
7,0.0000,,
9,0.0000,,
