Position,Activation,Token,Token Score
7,11.5353,,
1,11.2890,,
0,7.9764,,
9,5.3686,,
6,4.1724,,
8,1.4916,,
2,0.0000,,
3,0.0000,,
4,0.0000,,
5,0.0000,,
