Position,Activation,Token,Token Score
2,3.1583,,
0,3.0722,,
3,2.6477,,
5,2.5677,,
6,2.5656,,
1,1.9837,,
4,0.0000,,
7,0.0000,,
8,0.0000,,
9,0.0000,,
